grupo, algorithm, heuristic,domain, instance, cost,h0, generated, time, gen_per_sec
x, ida, Gap, pancake28, '21 24 5 25 16 13 15 1 26 7 2 0 22 19 9 10 17 20 23 4 14 12 8 27 11 6 3 18', 27, 27, 13973, 0.001447, 9.65653e+06
x, ida, Gap, pancake28, '14 5 1 22 26 19 12 21 27 11 4 25 0 10 7 9 18 24 13 6 8 2 23 16 15 20 3 17', 28, 27, 144865, 0.008343, 1.73637e+07
x, ida, Gap, pancake28, '5 11 2 18 17 6 19 27 20 15 22 4 23 1 14 26 0 7 10 21 16 3 24 12 8 25 13 9', 28, 27, 44494, 0.002707, 1.64366e+07
x, ida, Gap, pancake28, '24 16 13 19 25 14 23 4 8 5 7 20 22 10 2 27 3 17 18 21 15 0 26 6 1 9 11 12', 27, 26, 31337, 0.002024, 1.54827e+07
x, ida, Gap, pancake28, '16 3 11 8 7 23 21 5 26 15 24 12 20 22 10 6 14 17 13 1 18 2 19 25 0 9 27 4', 28, 27, 136584, 0.008215, 1.66262e+07
x, ida, Gap, pancake28, '21 6 1 22 0 12 9 23 18 27 15 10 4 26 16 7 20 3 13 14 17 5 24 2 11 8 19 25', 28, 27, 165325, 0.009559, 1.72952e+07
x, ida, Gap, pancake28, '21 22 11 15 10 12 9 25 17 16 24 2 7 3 19 1 26 4 18 27 5 20 14 8 13 23 0 6', 27, 26, 129890, 0.007724, 1.68164e+07
x, ida, Gap, pancake28, '1 18 22 14 13 2 23 8 25 0 21 17 24 5 12 11 15 27 3 10 20 16 19 9 4 26 6 7', 26, 25, 44044, 0.002511, 1.75404e+07
x, ida, Gap, pancake28, '3 1 23 18 10 0 12 15 4 21 20 9 27 13 24 14 26 19 8 7 5 25 22 6 16 17 11 2', 25, 25, 13691, 0.000895, 1.52972e+07
x, ida, Gap, pancake28, '27 12 13 9 10 19 4 20 25 14 16 2 21 15 7 18 3 5 17 1 8 0 26 11 22 6 23 24', 26, 25, 40705, 0.00238, 1.71029e+07
x, ida, Gap, pancake28, '2 15 25 27 13 12 21 22 9 17 23 7 20 4 5 3 11 0 8 10 26 14 24 16 6 1 19 18', 25, 24, 193745, 0.011943, 1.62225e+07
x, ida, Gap, pancake28, '15 0 21 22 12 3 6 23 4 5 10 26 11 19 18 17 14 16 24 25 27 9 20 8 7 1 13 2', 23, 22, 4745, 0.000286, 1.65909e+07
x, ida, Gap, pancake28, '16 10 22 25 2 4 20 1 12 14 11 26 5 24 17 3 15 18 0 19 21 23 8 6 7 9 27 13', 27, 27, 12703, 0.000757, 1.67807e+07
x, ida, Gap, pancake28, '20 21 0 9 15 1 11 25 16 18 17 10 19 27 3 22 24 26 14 13 2 6 8 12 5 23 4 7', 26, 25, 1091325, 0.062925, 1.73433e+07
x, ida, Gap, pancake28, '12 1 8 11 14 18 16 23 10 19 17 3 0 21 7 27 6 13 9 2 25 26 24 20 15 5 4 22', 26, 26, 13116, 0.00077, 1.70338e+07
x, ida, Gap, pancake28, '15 18 0 27 16 26 6 7 25 4 2 17 9 19 24 11 12 13 5 3 10 20 21 8 1 22 23 14', 24, 23, 68814, 0.003941, 1.74611e+07
x, ida, Gap, pancake28, '9 2 1 11 6 7 14 25 12 10 18 8 24 17 3 4 20 26 15 0 16 19 13 22 27 21 5 23', 25, 25, 8699, 0.000519, 1.67611e+07
x, ida, Gap, pancake28, '11 16 0 24 6 22 25 17 9 20 21 14 15 26 1 3 12 8 23 2 5 10 27 4 7 13 18 19', 26, 25, 241343, 0.014479, 1.66685e+07
x, ida, Gap, pancake28, '4 15 0 8 2 27 22 21 7 26 13 17 3 11 20 24 1 23 25 5 18 14 9 16 6 10 12 19', 28, 27, 70660, 0.004112, 1.71839e+07
x, ida, Gap, pancake28, '10 21 20 1 15 6 2 3 5 22 18 12 27 4 23 7 0 9 8 25 14 24 26 11 19 16 13 17', 26, 25, 153670, 0.008833, 1.73973e+07
x, ida, Gap, pancake28, '26 24 16 25 5 8 12 19 11 7 4 13 10 22 20 17 2 27 6 18 1 9 14 3 0 15 23 21', 29, 28, 151270, 0.009101, 1.66213e+07
x, ida, Gap, pancake28, '9 16 23 17 27 0 13 8 6 5 10 14 7 26 2 3 18 25 12 11 15 4 24 1 20 22 21 19', 25, 24, 78970, 0.004581, 1.72386e+07
x, ida, Gap, pancake28, '20 15 11 7 24 23 21 0 17 2 16 12 19 18 26 1 13 6 4 9 14 25 27 22 10 3 8 5', 27, 26, 218806, 0.012528, 1.74654e+07
x, ida, Gap, pancake28, '18 22 11 19 3 13 27 1 12 26 5 21 10 23 15 25 2 20 14 24 9 17 8 16 0 6 7 4', 28, 27, 85229, 0.005306, 1.60628e+07
x, ida, Gap, pancake28, '17 15 12 1 5 24 8 20 9 11 25 10 7 6 19 0 23 26 18 4 3 27 21 2 16 22 14 13', 26, 25, 36851, 0.002112, 1.74484e+07
x, ida, Gap, pancake28, '22 9 19 1 12 0 5 4 2 10 15 21 11 24 6 16 25 3 18 26 7 20 13 23 8 17 14 27', 27, 26, 39200, 0.002324, 1.68675e+07
x, ida, Gap, pancake28, '16 17 15 6 13 9 25 10 26 22 5 3 19 14 18 0 20 1 23 12 7 21 27 24 4 11 2 8', 27, 27, 6319, 0.000385, 1.6413e+07
x, ida, Gap, pancake28, '6 2 19 23 11 16 8 12 20 21 0 1 5 13 17 10 24 4 18 22 7 15 26 25 27 9 3 14', 27, 25, 2539634, 0.145005, 1.75141e+07
